date,code,name,p_close,open,high,low,close,volume,売買代金,値幅制限,時価総額_百万円,発行済株式数,配当利回り,配当,per,pbr,eps,bps,最低購入代金,単元株数,年初来高値,年初来安値,信用買残,信用買残前週比,信用売残,信用売残前週比,貸借倍率,get
05/14,9511,沖縄電力(株),"1,430","1,444","1,456","1,440","1,441","150,100","217,107","1,130～1,730","82,033","56,927,965",4.16,60.00,16.68,0.49,86.38,"2,966.84","144,100",100,"1,624","1,377","218,800","-80,800","9,100","-9,700",24.04,2021/05/16 15:56:25
05/14,9513,Ｊ－ＰＯＷＥＲ,"1,621","1,630","1,657","1,630","1,648","943,000","1,550,904","1,221～2,021","301,668","183,051,100",4.55,75.00,8.87,0.37,185.74,"4,420.39","164,800",100,"2,058","1,413","3,080,700","-36,500","112,500","-57,600",27.38,2021/05/16 16:01:16
05/14,9514,(株)エフオン,967,966,976,938,965,"196,400","188,727","817～1,117","20,881","21,638,199",0.83,8.00,10.44,1.26,92.43,767.13,"96,500",100,"1,359",895,"1,028,100","-1,700","2,300",0,447.00,2021/05/16 16:01:12
05/14,9517,イーレックス(株),"1,854","1,889","1,940","1,757","1,938","1,023,100","1,906,582","1,454～2,254","114,623","59,145,200",1.03,20.00,17.58,2.59,110.23,747.48,"193,800",100,"2,199","1,578","1,297,300","+126,100","120,300","-57,800",10.78,2021/05/16 16:00:55
05/14,9519,(株)レノバ,"3,195","3,230","3,325","3,180","3,310","882,100","2,890,025","2,495～3,895","258,479","78,090,400",0.00,0.00,50.43,16.86,65.63,196.27,"331,000",100,"4,835","2,924","2,566,700","-301,900","1,588,600","+122,200",1.62,2021/05/16 16:00:34
05/14,9531,東京ガス(株),"2,233","2,256.5","2,298.5","2,252","2,288","1,338,500","3,054,132","1,733～2,733","1,012,294","442,436,059",2.62,60.00,19.40,0.87,117.91,"2,616.37","228,800",100,"2,580","2,198","445,600","+101,000","120,500","+2,800",3.70,2021/05/16 16:00:32
05/14,9532,大阪ガス(株),"2,123","2,156","2,211","2,156","2,204","1,336,900","2,932,186","1,623～2,623","918,363","416,680,000",2.50,55.00,13.00,0.85,169.57,"2,602.18","220,400",100,"2,290","1,904","119,600","-33,100","198,300","+27,900",0.60,2021/05/16 16:00:31
05/14,9533,東邦ガス(株),"6,210","6,280","6,550","6,280","6,500","181,000","1,170,732","5,210～7,210","686,441","105,606,285",0.85,55.00,76.26,1.91,85.23,"3,404.33","650,000",100,"7,160","6,030","14,300","+2,600","283,700","-1,600",0.05,2021/05/16 16:00:30
05/14,9534,北海道ガス(株),"1,523","1,540","1,566","1,536","1,560","11,900","18,517","1,123～1,923","27,671","17,737,806",3.21,50.00,6.24,0.53,249.87,"2,961.32","156,000",100,"1,718","1,500","23,400","+1,200",400,+200,58.50,2021/05/16 16:00:28
05/14,9535,広島ガス(株),371,375,380,372,373,"26,600","9,997",291～451,"25,409","68,120,955",2.68,10.00,10.16,0.45,36.70,833.38,"37,300",100,427,363,"37,800",+300,"1,600",0,23.63,2021/05/16 16:00:27
05/14,9536,西部ガスホールディングス(株),"2,430","2,451","2,517","2,451","2,481","25,100","62,387","1,930～2,930","92,262","37,187,567",2.82,70.00,22.96,1.15,108.04,"2,161.91","248,100",100,"3,330","2,425","14,500","+3,500","11,900","-2,600",1.22,2021/05/16 16:00:26
05/14,9537,北陸ガス(株),"3,110","3,150","3,150","3,150","3,150",400,"1,260","2,410～3,810","15,120","4,800,000",2.54,80.00,11.89,0.33,264.92,"9,505.38","315,000",100,"3,240","3,055","1,800",-200,0,0,0.00,2021/05/16 16:00:25
05/14,9539,京葉瓦斯(株),"3,350","3,365","3,395","3,315","3,395",500,"1,680","2,650～4,050","37,124","10,935,000",1.62,55.00,14.56,0.44,233.11,"7,669.40","339,500",100,"3,705","3,240","1,800",-100,0,0,0.00,2021/05/16 16:00:24
05/14,9543,静岡ガス(株),991,"1,004","1,030",995,"1,020","194,500","198,439","841～1,141","77,717","76,192,950",1.76,18.00,18.56,0.89,54.96,"1,151.34","102,000",100,"1,105",898,"25,400",-600,"2,800","+1,400",9.07,2021/05/16 16:00:23
